tissue	gene	HPA_expr
lung	DDHD1	6.6
pancreas	DDHD1	0.4
rectum	DDHD1	4.6
skin	DDHD1	4.3
bone marrow	CDKN3	26.5
colon	CDKN3	13.2
lung	CDKN3	2.4
pancreas	CDKN3	0
rectum	CDKN3	17.9
skin	CDKN3	6.6
bone marrow	CNIH1	23.4
colon	CNIH1	85.7
lung	CNIH1	69.4
pancreas	CNIH1	8
rectum	CNIH1	104.9
skin	CNIH1	42.6
bone marrow	CGRRF1	5.1
colon	CGRRF1	7.8
lung	CGRRF1	10.1
pancreas	CGRRF1	2.8
rectum	CGRRF1	7.2
skin	CGRRF1	3.9
bone marrow	ATP6V1D	18.5
colon	ATP6V1D	51.2
lung	ATP6V1D	55.9
pancreas	ATP6V1D	6.7
rectum	ATP6V1D	55.4
skin	ATP6V1D	45.1
bone marrow	C14orf105	0.7
colon	C14orf105	0.2
lung	C14orf105	0.2
pancreas	C14orf105	4.5
rectum	C14orf105	0.3
skin	C14orf105	1.2
bone marrow	PLEK2	7.6
colon	PLEK2	24.7
lung	PLEK2	2.4
pancreas	PLEK2	1
rectum	PLEK2	31.5
skin	PLEK2	31
bone marrow	PIGH	16.8
colon	PIGH	11.3
lung	PIGH	16.3
pancreas	PIGH	5
rectum	PIGH	12.6
skin	PIGH	17.2
bone marrow	LRRC74A	0
colon	LRRC74A	0
lung	LRRC74A	0
pancreas	LRRC74A	0.1
rectum	LRRC74A	0
skin	LRRC74A	0
bone marrow	PSMA3	50.7
colon	PSMA3	73.3
lung	PSMA3	98.7
pancreas	PSMA3	9.1
rectum	PSMA3	88
skin	PSMA3	61.3
bone marrow	VTI1B	13.6
colon	VTI1B	30.4
lung	VTI1B	28.1
pancreas	VTI1B	5
rectum	VTI1B	38.9
skin	VTI1B	34.5
bone marrow	TIMM9	13.9
colon	TIMM9	24.2
lung	TIMM9	22.1
pancreas	TIMM9	7.9
rectum	TIMM9	20.9
skin	TIMM9	25.9
bone marrow	GSTZ1	5.6
colon	GSTZ1	22.2
lung	GSTZ1	11
pancreas	GSTZ1	3.9
rectum	GSTZ1	24.3
skin	GSTZ1	19.3
bone marrow	KIAA0586	4.4
colon	KIAA0586	5.1
lung	KIAA0586	7.3
pancreas	KIAA0586	0.8
rectum	KIAA0586	7.3
skin	KIAA0586	6.8
bone marrow	TMED8	5
colon	TMED8	4.3
lung	TMED8	6.9
pancreas	TMED8	1.2
rectum	TMED8	5.3
skin	TMED8	5.9
bone marrow	SAMD15	0.4
colon	SAMD15	0.2
lung	SAMD15	1.2
pancreas	SAMD15	0.4
rectum	SAMD15	0.3
skin	SAMD15	0.6
bone marrow	AHSA1	31
colon	AHSA1	55.1
lung	AHSA1	63.7
pancreas	AHSA1	9.2
rectum	AHSA1	76.4
skin	AHSA1	50.8
bone marrow	DAAM1	3.7
colon	DAAM1	10.3
lung	DAAM1	16.6
pancreas	DAAM1	2.3
rectum	DAAM1	11.3
skin	DAAM1	41.2
bone marrow	ISM2	0
colon	ISM2	0.1
lung	ISM2	0
pancreas	ISM2	0.1
rectum	ISM2	0
skin	ISM2	0
bone marrow	SPTLC2	21.3
colon	SPTLC2	18.2
lung	SPTLC2	19.4
pancreas	SPTLC2	1.1
rectum	SPTLC2	21.5
skin	SPTLC2	14.4
bone marrow	RIN3	29.5
colon	RIN3	7.4
lung	RIN3	16.5
pancreas	RIN3	0.4
rectum	RIN3	5.3
skin	RIN3	3.2
bone marrow	LGMN	12.2
colon	LGMN	97.1
lung	LGMN	152.5
pancreas	LGMN	5.9
rectum	LGMN	112.7
skin	LGMN	26.9
bone marrow	ALKBH1	0.7
colon	ALKBH1	2.8
lung	ALKBH1	3.4
pancreas	ALKBH1	0.5
rectum	ALKBH1	3.7
skin	ALKBH1	1.8
bone marrow	SNW1	57.6
colon	SNW1	27.4
lung	SNW1	41.8
pancreas	SNW1	6.8
rectum	SNW1	35.1
skin	SNW1	43.1
bone marrow	CHGA	0
colon	CHGA	44.1
lung	CHGA	1.3
pancreas	CHGA	11.5
rectum	CHGA	57.6
skin	CHGA	0.3
bone marrow	ITPK1	10.9
colon	ITPK1	25.3
lung	ITPK1	24.2
pancreas	ITPK1	3.9
rectum	ITPK1	18
skin	ITPK1	7.7
bone marrow	DHRS7	39.6
colon	DHRS7	67.6
lung	DHRS7	88.1
pancreas	DHRS7	18.5
rectum	DHRS7	73.8
skin	DHRS7	26.7
bone marrow	PPM1A	89.7
colon	PPM1A	36.1
lung	PPM1A	30.4
pancreas	PPM1A	5.3
rectum	PPM1A	39.7
skin	PPM1A	21.7
bone marrow	SIX4	0
colon	SIX4	0
lung	SIX4	1.2
pancreas	SIX4	0.3
rectum	SIX4	0.1
skin	SIX4	0
bone marrow	GALNT16	0
colon	GALNT16	2.2
lung	GALNT16	4.6
pancreas	GALNT16	0.9
rectum	GALNT16	2.5
skin	GALNT16	6.5
bone marrow	ASB2	0.2
colon	ASB2	4.9
lung	ASB2	1.4
pancreas	ASB2	0
rectum	ASB2	3.4
skin	ASB2	0.1
bone marrow	CEP128	4.2
colon	CEP128	2
lung	CEP128	2.2
pancreas	CEP128	0.1
rectum	CEP128	1.9
skin	CEP128	2.8
bone marrow	ERH	52.5
colon	ERH	66.7
lung	ERH	68.6
pancreas	ERH	8.4
rectum	ERH	82.1
skin	ERH	43.3
bone marrow	HIF1A	292.4
colon	HIF1A	42.4
lung	HIF1A	61.1
pancreas	HIF1A	7.7
rectum	HIF1A	46.3
skin	HIF1A	30.6
bone marrow	SUSD6	43.2
colon	SUSD6	19
lung	SUSD6	44.7
pancreas	SUSD6	4.6
rectum	SUSD6	21
skin	SUSD6	25.8
bone marrow	SRSF5	280
colon	SRSF5	184.9
lung	SRSF5	303.4
pancreas	SRSF5	17.6
rectum	SRSF5	169.6
skin	SRSF5	206.2
bone marrow	SLC10A1	0.2
colon	SLC10A1	0.1
lung	SLC10A1	0
pancreas	SLC10A1	0
rectum	SLC10A1	0
skin	SLC10A1	0.1
bone marrow	EIF5	122.4
colon	EIF5	81
lung	EIF5	96.2
pancreas	EIF5	16.4
rectum	EIF5	85.8
skin	EIF5	67.4
bone marrow	SERPINA4	0
colon	SERPINA4	0
lung	SERPINA4	0
pancreas	SERPINA4	12.9
rectum	SERPINA4	0
skin	SERPINA4	0
bone marrow	SLC8A3	0.2
colon	SLC8A3	0.3
lung	SLC8A3	0.9
pancreas	SLC8A3	0
rectum	SLC8A3	0.3
skin	SLC8A3	0.1
bone marrow	DICER1	11.3
colon	DICER1	12.4
lung	DICER1	18.8
pancreas	DICER1	2.7
rectum	DICER1	15.9
skin	DICER1	18.7
bone marrow	ZFYVE21	7.2
colon	ZFYVE21	30.5
lung	ZFYVE21	42.8
pancreas	ZFYVE21	4.5
rectum	ZFYVE21	28.2
skin	ZFYVE21	64
bone marrow	MTHFD1	21.5
colon	MTHFD1	28.2
lung	MTHFD1	26.2
pancreas	MTHFD1	5.5
rectum	MTHFD1	37.3
skin	MTHFD1	25.8
bone marrow	TCL1A	14.6
colon	TCL1A	2.3
lung	TCL1A	1.5
pancreas	TCL1A	0
rectum	TCL1A	2.2
skin	TCL1A	0.5
bone marrow	ZC3H14	16.3
colon	ZC3H14	32.4
lung	ZC3H14	45.2
pancreas	ZC3H14	9.5
rectum	ZC3H14	41
skin	ZC3H14	31.8
bone marrow	TELO2	7.2
colon	TELO2	4.6
lung	TELO2	5.6
pancreas	TELO2	2
rectum	TELO2	1.5
skin	TELO2	14.5
bone marrow	PCNX1	11.4
colon	PCNX1	7.3
lung	PCNX1	15.6
pancreas	PCNX1	1.4
rectum	PCNX1	8.5
skin	PCNX1	7.4
bone marrow	BDKRB1	0
colon	BDKRB1	3.1
lung	BDKRB1	1.4
pancreas	BDKRB1	1.3
rectum	BDKRB1	2.5
skin	BDKRB1	2.5
bone marrow	GSKIP	10.5
colon	GSKIP	58.8
lung	GSKIP	14.3
pancreas	GSKIP	2
rectum	GSKIP	59.9
skin	GSKIP	16.9
bone marrow	VRK1	41
colon	VRK1	11.2
lung	VRK1	8.8
pancreas	VRK1	0.7
rectum	VRK1	13.9
skin	VRK1	10.9
bone marrow	PSMC1	53.5
colon	PSMC1	54.3
lung	PSMC1	69
pancreas	PSMC1	9.1
rectum	PSMC1	66.9
skin	PSMC1	65.1
bone marrow	PAPLN	1.5
colon	PAPLN	3.3
lung	PAPLN	6.6
pancreas	PAPLN	0.1
rectum	PAPLN	4.8
skin	PAPLN	15.7
bone marrow	RPS6KA5	2.5
colon	RPS6KA5	6.1
lung	RPS6KA5	5.5
pancreas	RPS6KA5	0.5
rectum	RPS6KA5	7.6
skin	RPS6KA5	2.6
bone marrow	PPP4R3A	45.3
colon	PPP4R3A	25.4
lung	PPP4R3A	36
pancreas	PPP4R3A	5.4
rectum	PPP4R3A	28.5
skin	PPP4R3A	30.6
bone marrow	C14orf93	8.1
colon	C14orf93	8.6
lung	C14orf93	9
pancreas	C14orf93	1.5
rectum	C14orf93	10.5
skin	C14orf93	21.7
bone marrow	PSMB5	17.1
colon	PSMB5	71.2
lung	PSMB5	76.3
pancreas	PSMB5	14
rectum	PSMB5	85.9
skin	PSMB5	66.1
bone marrow	YY1	37.6
colon	YY1	31.8
lung	YY1	37.3
pancreas	YY1	5.5
rectum	YY1	34.1
skin	YY1	35.2
bone marrow	ACIN1	42.1
colon	ACIN1	29.2
lung	ACIN1	42.9
pancreas	ACIN1	5
rectum	ACIN1	36.7
skin	ACIN1	45.4
bone marrow	CCNB1IP1	22
colon	CCNB1IP1	24.7
lung	CCNB1IP1	35.3
pancreas	CCNB1IP1	4
rectum	CCNB1IP1	32.9
skin	CCNB1IP1	34.4
bone marrow	TRIP11	5.2
colon	TRIP11	10
lung	TRIP11	11.9
pancreas	TRIP11	5.3
rectum	TRIP11	11
skin	TRIP11	10.6
bone marrow	APEX1	95.8
colon	APEX1	88
lung	APEX1	87.8
pancreas	APEX1	14.7
rectum	APEX1	100.2
skin	APEX1	92.7
bone marrow	PABPN1	86.8
colon	PABPN1	83.9
lung	PABPN1	103.6
pancreas	PABPN1	12.4
rectum	PABPN1	117.1
skin	PABPN1	133.7
bone marrow	EFS	0
colon	EFS	3.7
lung	EFS	9.1
pancreas	EFS	0.2
rectum	EFS	3.1
skin	EFS	59.4
bone marrow	ARHGAP5	6.8
colon	ARHGAP5	29.1
lung	ARHGAP5	42.1
pancreas	ARHGAP5	6.2
rectum	ARHGAP5	28.8
skin	ARHGAP5	36.7
bone marrow	CINP	17.8
colon	CINP	17.9
lung	CINP	21.7
pancreas	CINP	9.3
rectum	CINP	17.4
skin	CINP	16.7
bone marrow	DHRS2	0
colon	DHRS2	0.1
lung	DHRS2	0.3
pancreas	DHRS2	0.9
rectum	DHRS2	0.5
skin	DHRS2	0
bone marrow	SRP54	15.1
colon	SRP54	29.4
lung	SRP54	40.5
pancreas	SRP54	8.8
rectum	SRP54	35.1
skin	SRP54	30
bone marrow	CPNE6	0.2
colon	CPNE6	0.6
lung	CPNE6	0.1
pancreas	CPNE6	0
rectum	CPNE6	1.2
skin	CPNE6	0.2
bone marrow	CHD8	26.1
colon	CHD8	12.1
lung	CHD8	22
pancreas	CHD8	2.1
rectum	CHD8	15.1
skin	CHD8	25
bone marrow	PCK2	5.3
colon	PCK2	47
lung	PCK2	26.5
pancreas	PCK2	12.6
rectum	PCK2	40.5
skin	PCK2	16.2
bone marrow	KIAA0391	8.5
colon	KIAA0391	21.1
lung	KIAA0391	21.1
pancreas	KIAA0391	2.2
rectum	KIAA0391	25
skin	KIAA0391	18.5
bone marrow	DCAF11	36.7
colon	DCAF11	32.3
lung	DCAF11	32.7
pancreas	DCAF11	12.3
rectum	DCAF11	27.5
skin	DCAF11	24.1
bone marrow	PSMA6	95.8
colon	PSMA6	127
lung	PSMA6	156
pancreas	PSMA6	17.3
rectum	PSMA6	145.7
skin	PSMA6	100.1
bone marrow	NFKBIA	711.6
colon	NFKBIA	81.1
lung	NFKBIA	244.9
pancreas	NFKBIA	20.3
rectum	NFKBIA	90.1
skin	NFKBIA	87.3
bone marrow	EMC9	7.7
colon	EMC9	9.4
lung	EMC9	7.3
pancreas	EMC9	3.2
rectum	EMC9	7.5
skin	EMC9	11.3
bone marrow	PSME2	53.1
colon	PSME2	124.9
lung	PSME2	127.6
pancreas	PSME2	9.1
rectum	PSME2	169.4
skin	PSME2	66.6
bone marrow	BRMS1L	1.5
colon	BRMS1L	3.3
lung	BRMS1L	7.2
pancreas	BRMS1L	0.6
rectum	BRMS1L	4
skin	BRMS1L	6.9
bone marrow	REC8	8.1
colon	REC8	1.8
lung	REC8	7.1
pancreas	REC8	0.4
rectum	REC8	1
skin	REC8	1.5
bone marrow	TM9SF1	3.9
colon	TM9SF1	20
lung	TM9SF1	29.1
pancreas	TM9SF1	7.1
rectum	TM9SF1	17
skin	TM9SF1	18.6
bone marrow	SEC23A	9.3
colon	SEC23A	38.3
lung	SEC23A	30.1
pancreas	SEC23A	2.4
rectum	SEC23A	36.3
skin	SEC23A	14.5
bone marrow	GMPR2	15.5
colon	GMPR2	40.2
lung	GMPR2	54
pancreas	GMPR2	6.1
rectum	GMPR2	43.8
skin	GMPR2	30.4
bone marrow	PNN	78.6
colon	PNN	37.8
lung	PNN	55.7
pancreas	PNN	8.9
rectum	PNN	63.7
skin	PNN	60.2
bone marrow	RABGGTA	5.8
colon	RABGGTA	8.6
lung	RABGGTA	14.9
pancreas	RABGGTA	3.3
rectum	RABGGTA	7.7
skin	RABGGTA	15.1
bone marrow	NFATC4	0.9
colon	NFATC4	11.4
lung	NFATC4	18
pancreas	NFATC4	1.2
rectum	NFATC4	11.1
skin	NFATC4	21.5
bone marrow	PLTP	13.1
colon	PLTP	46.7
lung	PLTP	81.1
pancreas	PLTP	66.1
rectum	PLTP	47.8
skin	PLTP	77.1
bone marrow	PCIF1	20.9
colon	PCIF1	14.9
lung	PCIF1	31
pancreas	PCIF1	5.4
rectum	PCIF1	12.4
skin	PCIF1	31.6
bone marrow	GSS	16.2
colon	GSS	46.4
lung	GSS	27.2
pancreas	GSS	2.9
rectum	GSS	56.8
skin	GSS	45.4
bone marrow	MMP9	252.6
colon	MMP9	5.3
lung	MMP9	6.7
pancreas	MMP9	0.3
rectum	MMP9	3.8
skin	MMP9	3.8
bone marrow	VSX1	0.4
colon	VSX1	0
lung	VSX1	0.2
pancreas	VSX1	0
rectum	VSX1	0.1
skin	VSX1	0.3
bone marrow	TRPC4AP	43.6
colon	TRPC4AP	32.5
lung	TRPC4AP	60.9
pancreas	TRPC4AP	11.1
rectum	TRPC4AP	39.1
skin	TRPC4AP	48.5
bone marrow	PYGB	9
colon	PYGB	104.6
lung	PYGB	48
pancreas	PYGB	4.3
rectum	PYGB	79.5
skin	PYGB	42.6
bone marrow	ABHD12	14.3
colon	ABHD12	31.6
lung	ABHD12	42.2
pancreas	ABHD12	22.7
rectum	ABHD12	32.8
skin	ABHD12	34.3
bone marrow	PROCR	6.2
colon	PROCR	21.2
lung	PROCR	20.9
pancreas	PROCR	2.6
rectum	PROCR	24.1
skin	PROCR	14.9
bone marrow	GINS1	2.3
colon	GINS1	3.2
lung	GINS1	0.9
pancreas	GINS1	0.1
rectum	GINS1	4.5
skin	GINS1	4.5
bone marrow	NINL	0.4
colon	NINL	1.7
lung	NINL	6.2
pancreas	NINL	0.8
rectum	NINL	2.3
skin	NINL	2.5
bone marrow	CD40	1.7
colon	CD40	7.6
lung	CD40	39.2
pancreas	CD40	3.5
rectum	CD40	10.4
skin	CD40	19.7
bone marrow	UQCC1	2
colon	UQCC1	19
lung	UQCC1	17.9
pancreas	UQCC1	2.7
rectum	UQCC1	26.8
skin	UQCC1	15.2
bone marrow	ZMYND8	16.6
colon	ZMYND8	14.1
lung	ZMYND8	16.7
pancreas	ZMYND8	2.5
rectum	ZMYND8	15.9
skin	ZMYND8	19.8
bone marrow	SGK2	0.2
colon	SGK2	35.2
lung	SGK2	0.9
pancreas	SGK2	2.2
rectum	SGK2	41.1
skin	SGK2	6.3
bone marrow	IFT52	17.9
colon	IFT52	16.3
lung	IFT52	25.3
pancreas	IFT52	3.3
rectum	IFT52	19.6
skin	IFT52	17.2
bone marrow	MYBL2	57
colon	MYBL2	8.5
lung	MYBL2	2
pancreas	MYBL2	1.4
rectum	MYBL2	7.6
skin	MYBL2	5
bone marrow	R3HDML	0.1
colon	R3HDML	0.7
lung	R3HDML	0.2
pancreas	R3HDML	0
rectum	R3HDML	0
skin	R3HDML	0.1
bone marrow	HNF4A	0.1
colon	HNF4A	58
lung	HNF4A	0.2
pancreas	HNF4A	5.3
rectum	HNF4A	47.8
skin	HNF4A	0.2
bone marrow	NDRG3	5.3
colon	NDRG3	17.8
lung	NDRG3	25.4
pancreas	NDRG3	2.7
rectum	NDRG3	23.8
skin	NDRG3	20.7
bone marrow	SLA2	7.4
colon	SLA2	1.7
lung	SLA2	4.6
pancreas	SLA2	0
rectum	SLA2	1.9
skin	SLA2	1
bone marrow	C20orf24	38.6
colon	C20orf24	65.8
lung	C20orf24	39.8
pancreas	C20orf24	7.4
rectum	C20orf24	59.6
skin	C20orf24	24.2
bone marrow	NFATC2	3
colon	NFATC2	4
lung	NFATC2	7.2
pancreas	NFATC2	1.7
rectum	NFATC2	4.1
skin	NFATC2	4.5
bone marrow	RIMS4	0
colon	RIMS4	0.5
lung	RIMS4	1.4
pancreas	RIMS4	0
rectum	RIMS4	0.6
skin	RIMS4	0
bone marrow	PABPC1L	17.4
colon	PABPC1L	6.7
lung	PABPC1L	19.3
pancreas	PABPC1L	6.1
rectum	PABPC1L	12.1
skin	PABPC1L	21.2
bone marrow	STK4	37.6
colon	STK4	10.9
lung	STK4	23.4
pancreas	STK4	1.2
rectum	STK4	14.4
skin	STK4	13.3
bone marrow	SALL4	0.5
colon	SALL4	0.1
lung	SALL4	0.3
pancreas	SALL4	0.1
rectum	SALL4	0.2
skin	SALL4	0.2
bone marrow	ADNP	16.7
colon	ADNP	22.4
lung	ADNP	33.9
pancreas	ADNP	4.4
rectum	ADNP	27
skin	ADNP	33.5
bone marrow	PFDN4	2.3
colon	PFDN4	2.4
lung	PFDN4	4.1
pancreas	PFDN4	0.5
rectum	PFDN4	3.3
skin	PFDN4	3.6
bone marrow	DOK5	0
colon	DOK5	0.7
lung	DOK5	0.6
pancreas	DOK5	0.2
rectum	DOK5	0.8
skin	DOK5	0
bone marrow	CSTF1	3.1
colon	CSTF1	7.7
lung	CSTF1	12.4
pancreas	CSTF1	2
rectum	CSTF1	8.7
skin	CSTF1	9.4
bone marrow	BMP7	0
colon	BMP7	1.7
lung	BMP7	1.8
pancreas	BMP7	0
rectum	BMP7	1.9
skin	BMP7	19
bone marrow	RAE1	31.4
colon	RAE1	14.2
lung	RAE1	14.6
pancreas	RAE1	2.1
rectum	RAE1	17.9
skin	RAE1	23.6
bone marrow	TPD52L2	61.7
colon	TPD52L2	38.5
lung	TPD52L2	69
pancreas	TPD52L2	8.8
rectum	TPD52L2	39.1
skin	TPD52L2	52.6
bone marrow	DNAJC5	11.3
colon	DNAJC5	11.4
lung	DNAJC5	17.1
pancreas	DNAJC5	4.7
rectum	DNAJC5	8.5
skin	DNAJC5	18.6
bone marrow	NELFCD	12.2
colon	NELFCD	15.8
lung	NELFCD	19.7
pancreas	NELFCD	4.1
rectum	NELFCD	18.1
skin	NELFCD	26.6
bone marrow	CTSZ	89.6
colon	CTSZ	206.3
lung	CTSZ	476.8
pancreas	CTSZ	18.6
rectum	CTSZ	236.5
skin	CTSZ	44.3
bone marrow	PRPF6	21
colon	PRPF6	27.9
lung	PRPF6	48.3
pancreas	PRPF6	7.6
rectum	PRPF6	28.5
skin	PRPF6	68
bone marrow	TUBB1	4.8
colon	TUBB1	0
lung	TUBB1	2.1
pancreas	TUBB1	0
rectum	TUBB1	0
skin	TUBB1	0.1
bone marrow	PRELID3B	21.2
colon	PRELID3B	63.8
lung	PRELID3B	32.5
pancreas	PRELID3B	5.2
rectum	PRELID3B	67.3
skin	PRELID3B	28
bone marrow	HRH3	0
colon	HRH3	0
lung	HRH3	0
pancreas	HRH3	0
rectum	HRH3	0
skin	HRH3	0.3
bone marrow	MTG2	6.6
colon	MTG2	8.9
lung	MTG2	9.7
pancreas	MTG2	3
rectum	MTG2	5.9
skin	MTG2	14.4
bone marrow	PSMA7	161.8
colon	PSMA7	123.6
lung	PSMA7	161
pancreas	PSMA7	22.5
rectum	PSMA7	116.8
skin	PSMA7	124.2
bone marrow	SLCO4A1	0.8
colon	SLCO4A1	2.1
lung	SLCO4A1	2.3
pancreas	SLCO4A1	0.3
rectum	SLCO4A1	1.9
skin	SLCO4A1	7.8
bone marrow	NTSR1	0.4
colon	NTSR1	0.3
lung	NTSR1	0
pancreas	NTSR1	0
rectum	NTSR1	0
skin	NTSR1	0
bone marrow	MRGBP	4.1
colon	MRGBP	4.6
lung	MRGBP	6.1
pancreas	MRGBP	1.2
rectum	MRGBP	4.4
skin	MRGBP	6.4
bone marrow	TCFL5	3.2
colon	TCFL5	4.8
lung	TCFL5	6.6
pancreas	TCFL5	1.2
rectum	TCFL5	5
skin	TCFL5	17.1
bone marrow	DIDO1	17.6
colon	DIDO1	18.8
lung	DIDO1	31
pancreas	DIDO1	3.7
rectum	DIDO1	21.6
skin	DIDO1	43.1
bone marrow	GID8	23.7
colon	GID8	14.5
lung	GID8	19
pancreas	GID8	4.2
rectum	GID8	15.5
skin	GID8	32.4
bone marrow	SLC17A9	7.2
colon	SLC17A9	3.2
lung	SLC17A9	1.8
pancreas	SLC17A9	0
rectum	SLC17A9	3.4
skin	SLC17A9	0.5
bone marrow	BIRC7	0
colon	BIRC7	0.2
lung	BIRC7	1.3
pancreas	BIRC7	0
rectum	BIRC7	0.1
skin	BIRC7	2.7
bone marrow	NKAIN4	0.1
colon	NKAIN4	0.2
lung	NKAIN4	0
pancreas	NKAIN4	0
rectum	NKAIN4	0.1
skin	NKAIN4	0.5
bone marrow	ARFGAP1	7.7
colon	ARFGAP1	14.3
lung	ARFGAP1	16.8
pancreas	ARFGAP1	5.9
rectum	ARFGAP1	10.7
skin	ARFGAP1	22.6
bone marrow	AVP	0.5
colon	AVP	0
lung	AVP	0
pancreas	AVP	0
rectum	AVP	0
skin	AVP	0
bone marrow	COL20A1	0
colon	COL20A1	0
lung	COL20A1	0
pancreas	COL20A1	0
rectum	COL20A1	0
skin	COL20A1	0
bone marrow	CHRNA4	0
colon	CHRNA4	0
lung	CHRNA4	0
pancreas	CHRNA4	0
rectum	CHRNA4	0
skin	CHRNA4	0
bone marrow	EEF1A2	0.1
colon	EEF1A2	1.8
lung	EEF1A2	0.3
pancreas	EEF1A2	3.2
rectum	EEF1A2	0.8
skin	EEF1A2	6.7
bone marrow	PTK6	0.5
colon	PTK6	22.5
lung	PTK6	3.9
pancreas	PTK6	0.3
rectum	PTK6	17
skin	PTK6	60.4
bone marrow	GMEB2	12
colon	GMEB2	3.8
lung	GMEB2	6.2
pancreas	GMEB2	2
rectum	GMEB2	2.6
skin	GMEB2	6.3
bone marrow	C20orf27	56.5
colon	C20orf27	11.1
lung	C20orf27	18.3
pancreas	C20orf27	2.6
rectum	C20orf27	7.5
skin	C20orf27	16.8
bone marrow	SPEF1	0
colon	SPEF1	0
lung	SPEF1	1
pancreas	SPEF1	0
rectum	SPEF1	0
skin	SPEF1	0
bone marrow	CDC25B	19.5
colon	CDC25B	11.5
lung	CDC25B	39
pancreas	CDC25B	0.6
rectum	CDC25B	12.7
skin	CDC25B	24.2
bone marrow	ISM1	0
colon	ISM1	0.5
lung	ISM1	3.8
pancreas	ISM1	0.4
rectum	ISM1	0.3
skin	ISM1	6.6
bone marrow	RNF24	34.2
colon	RNF24	3.2
lung	RNF24	10.3
pancreas	RNF24	0.7
rectum	RNF24	3.9
skin	RNF24	9.8
bone marrow	ARFRP1	6.3
colon	ARFRP1	13.4
lung	ARFRP1	18.2
pancreas	ARFRP1	2.6
rectum	ARFRP1	9
skin	ARFRP1	13.4
bone marrow	NDUFAF5	3.7
colon	NDUFAF5	2.7
lung	NDUFAF5	1.7
pancreas	NDUFAF5	0.5
rectum	NDUFAF5	2.8
skin	NDUFAF5	2.7
bone marrow	SEL1L2	0
colon	SEL1L2	0
lung	SEL1L2	0
pancreas	SEL1L2	0
rectum	SEL1L2	0
skin	SEL1L2	0
bone marrow	TRIB3	8.1
colon	TRIB3	1.7
lung	TRIB3	8.2
pancreas	TRIB3	1.7
rectum	TRIB3	2
skin	TRIB3	7.5
bone marrow	RASSF2	58.5
colon	RASSF2	8.2
lung	RASSF2	31.1
pancreas	RASSF2	0.6
rectum	RASSF2	10.7
skin	RASSF2	5
bone marrow	CSNK2A1	27.4
colon	CSNK2A1	41.1
lung	CSNK2A1	46.5
pancreas	CSNK2A1	8.9
rectum	CSNK2A1	48.6
skin	CSNK2A1	41.5
bone marrow	SLC52A3	0
colon	SLC52A3	9.3
lung	SLC52A3	1.5
pancreas	SLC52A3	0.3
rectum	SLC52A3	6.4
skin	SLC52A3	0.8
bone marrow	ANGPT4	0
colon	ANGPT4	0.1
lung	ANGPT4	1.8
pancreas	ANGPT4	0
rectum	ANGPT4	0.1
skin	ANGPT4	0.6
bone marrow	RSPO4	0
colon	RSPO4	0
lung	RSPO4	6.8
pancreas	RSPO4	0
rectum	RSPO4	0
skin	RSPO4	1.3
bone marrow	CDS2	7.8
colon	CDS2	10.6
lung	CDS2	19.5
pancreas	CDS2	1.3
rectum	CDS2	11.7
skin	CDS2	5.9
bone marrow	PROKR2	0.8
colon	PROKR2	0
lung	PROKR2	0
pancreas	PROKR2	0
rectum	PROKR2	0
skin	PROKR2	0
bone marrow	HM13	42.2
colon	HM13	46.7
lung	HM13	66.4
pancreas	HM13	34.7
rectum	HM13	50.7
skin	HM13	38.1
bone marrow	SNPH	0.3
colon	SNPH	1.3
lung	SNPH	1.7
pancreas	SNPH	0.7
rectum	SNPH	0.9
skin	SNPH	0.8
bone marrow	MYLK2	0.2
colon	MYLK2	0.1
lung	MYLK2	0
pancreas	MYLK2	1.1
rectum	MYLK2	0
skin	MYLK2	0
bone marrow	SIRPB1	33.7
colon	SIRPB1	2
lung	SIRPB1	28
pancreas	SIRPB1	0.2
rectum	SIRPB1	1.9
skin	SIRPB1	0.6
bone marrow	SEC23B	20.9
colon	SEC23B	27.9
lung	SEC23B	38.8
pancreas	SEC23B	10.3
rectum	SEC23B	31.6
skin	SEC23B	19.2
bone marrow	FERMT1	0.1
colon	FERMT1	20.1
lung	FERMT1	1.3
pancreas	FERMT1	0.5
rectum	FERMT1	30.8
skin	FERMT1	15.5
bone marrow	HAO1	0
colon	HAO1	0
lung	HAO1	0
pancreas	HAO1	0
rectum	HAO1	0
skin	HAO1	0
bone marrow	PDYN	0
colon	PDYN	0
lung	PDYN	0
pancreas	PDYN	0
rectum	PDYN	0
skin	PDYN	0.2
bone marrow	CCM2L	0
colon	CCM2L	1.7
lung	CCM2L	13.8
pancreas	CCM2L	0.2
rectum	CCM2L	1.7
skin	CCM2L	2.5
bone marrow	PLCB4	0.3
colon	PLCB4	21.6
lung	PLCB4	9.4
pancreas	PLCB4	0.4
rectum	PLCB4	22.2
skin	PLCB4	2
bone marrow	MYL9	3.1
colon	MYL9	599.3
lung	MYL9	393
pancreas	MYL9	13.8
rectum	MYL9	387.6
skin	MYL9	22.2
bone marrow	HCK	39.3
colon	HCK	13.7
lung	HCK	74.1
pancreas	HCK	1
rectum	HCK	16.8
skin	HCK	7.6
bone marrow	TM9SF4	9.7
colon	TM9SF4	30.1
lung	TM9SF4	34.2
pancreas	TM9SF4	6
rectum	TM9SF4	38.4
skin	TM9SF4	35.3
bone marrow	TLDC2	1.6
colon	TLDC2	11
lung	TLDC2	3.4
pancreas	TLDC2	0.3
